=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     ChocolateCleanOfficial1-weka.filters.unsupervised.attribute.Remove-R33-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.AddClassification-classification-error-Wweka.classifiers.trees.DecisionStump-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R34-weka.filters.unsupervised.attribute.Remove-R33-35
Instances:    2130
Attributes:   32
              company_location
              country_of_bean_origin
              cocoa_percent
              rating
              sweet
              nutty
              cocoa
              roasty
              earthy
              creamy
              sandy
              fatty
              floral
              intense
              spicy
              sour
              vanilla
              fruit
              molasses
              woody
              sticky
              coffee
              rich
              dried.fruit
              ingredient_Beans
              ingredient_Sugar
              ingredient_Sweetener
              ingredient_Cocoa_Butter
              ingredient_vanilla
              ingredient_lecithin
              ingredient_salt
              number_of_ingredients
Test mode:    split 70.0% train, remainder test

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 0.36 seconds

=== Predictions on test split ===

    inst#     actual  predicted      error
      166      3          3          0     
      167      3          3          0     
      168      6          5.13      -0.87  
      169      2          2.02       0.02  
      170      3          2.96      -0.04  
      171      2          2.031      0.031 
      172      5          4.41      -0.59  
      173      4          4          0     
      174      4          4.04       0.04  
      175      3          3.07       0.07  
      176      2          2.132      0.132 
      177      2          2.07       0.07  
      178      2          2.03       0.03  
      179      2          2          0     
      180      3          3          0     
      181      4          3.96      -0.04  
      182      4          3.96      -0.04  
      183      4          3.89      -0.11  
      184      3          3.04       0.04  
      185      3          3.02       0.02  
      186      4          3.99      -0.01  
      187      4          4.02       0.02  
      188      3          3.04       0.04  
      189      3          2.98      -0.02  
      190      3          3          0     
      191      3          2.99      -0.01  
      192      4          3.98      -0.02  
      193      5          4.92      -0.08  
      194      2          2          0     
      195      2          2.03       0.03  
      196      3          3          0     
      197      5          4.73      -0.27  
      198      3          3.02       0.02  
      199      3          3.02       0.02  
      200      3          3.01       0.01  
      201      4          3.98      -0.02  
      202      3          3.111      0.111 
      203      3          3.01       0.01  
      204      3          2.98      -0.02  
      205      3          3          0     
      206      4          3.871     -0.129 
      207      2          2.172      0.172 
      208      2          2.141      0.141 
      209      3          3.021      0.021 
      210      3.053      2.96      -0.093 
      211      3          3.02       0.02  
      212      3          3.08       0.08  
      213      3          3.04       0.04  
      214      5          4.79      -0.21  
      215      4          4.01       0.01  
      216      3          3.03       0.03  
      217      3          3.01       0.01  
      218      2          2.131      0.131 
      219      4          4          0     
      220      3          3.01       0.01  
      221      5          4.83      -0.17  
      222      3          2.97      -0.03  
      223      5          4.84      -0.16  
      224      3          2.97      -0.03  
      225      2          2.031      0.031 
      226      2          2.01       0.01  
      227      5          4.94      -0.06  
      228      4          3.99      -0.01  
      229      3          2.99      -0.01  
      230      3          3          0     
      231      2          2.03       0.03  
      232      2          2.051      0.051 
      233      4          3.89      -0.11  
      234      3          3.03       0.03  
      235      3          2.99      -0.01  
      236      3          2.96      -0.04  
      237      2          2          0     
      238      2          2.021      0.021 
      239      2          2.181      0.181 
      240      2          2.04       0.04  
      241      3          3          0     
      242      2          2.12       0.12  
      243      2          2.04       0.04  
      244      3          2.93      -0.07  
      245      2          2.041      0.041 
      246      4          3.97      -0.03  
      247      3          2.98      -0.02  
      248      4          4.02       0.02  
      249      2          2.01       0.01  
      250      5          4.83      -0.17  
      251      4          3.82      -0.18  
      252      4          4.01       0.01  
      253      2          2          0     
      254      2          2.05       0.05  
      255      3          3.03       0.03  
      256      3          2.91      -0.09  
      257      3          2.99      -0.01  
      258      3          3.01       0.01  
      259      4          3.91      -0.09  
      260      3          3.01       0.01  
      261      1          2.422      1.422 
      262      3          3.02       0.02  
      263      3          3          0     
      264      2          2          0     
      265      3          3.04       0.04  
      266      2          2          0     
      267      4          3.93      -0.07  
      268      4          3.99      -0.01  
      269      2          2.03       0.03  
      270      2          2.01       0.01  
      271      3          2.92      -0.08  
      272      2          2.152      0.152 
      273      5          4.84      -0.16  
      274      4          3.8       -0.2   
      275      4          3.88      -0.12  
      276      2          2.07       0.07  
      277      5          4.71      -0.29  
      278      3          3.01       0.01  
      279      3          3.02       0.02  
      280      2          2.02       0.02  
      281      3          2.98      -0.02  
      282      3          3.06       0.06  
      283      2          2.04       0.04  
      284      3          3.02       0.02  
      285      5          4.89      -0.11  
      286      4          3.98      -0.02  
      287      5          4.8       -0.2   
      288      3          3.05       0.05  
      289      2          2.04       0.04  
      290      2          2.082      0.082 
      291      4          3.92      -0.08  
      292      2          2.03       0.03  
      293      4          4.03       0.03  
      294      3          3          0     
      295      3          3.11       0.11  
      296      3          3          0     
      297      3.053      2.779     -0.274 
      298      2          2.02       0.02  
      299      3          2.99      -0.01  
      300      2          2.01       0.01  
      301      3          3.03       0.03  
      302      3          3          0     
      303      4          3.92      -0.08  
      304      3          2.98      -0.02  
      305      2          2.202      0.202 
      306      3          3          0     
      307      2          2.011      0.011 
      308      3          3.02       0.02  
      309      2          2.071      0.071 
      310      2          2.02       0.02  
      311      3          2.94      -0.06  
      312      4          4.13       0.13  
      313      2          2.04       0.04  
      314      6          5.07      -0.93  
      315      3          3.06       0.06  
      316      3          3          0     
      317      3          3.251      0.251 
      318      2          2.01       0.01  
      319      4          3.96      -0.04  
      320      4          3.98      -0.02  
      321      3          3.01       0.01  
      322      2          2.031      0.031 
      323      3          3.01       0.01  
      324      3          3          0     
      325      3          3          0     
      326      3          3.122      0.122 
      327      2          2.03       0.03  
      328      3          3.04       0.04  
      329      4          3.94      -0.06  
      330      2          2.091      0.091 
      331      4          4.02       0.02  
      332      3          3.02       0.02  
      333      4          3.97      -0.03  
      334      2          2.03       0.03  
      335      2          2.01       0.01  
      336      4          4.03       0.03  
      337      3          3.051      0.051 
      338      4          3.98      -0.02  
      339      4          3.76      -0.24  
      340      3          3          0     
      341      4          3.92      -0.08  
      342      3          2.99      -0.01  
      343      3.053      3.02      -0.033 
      344      3          2.99      -0.01  
      345      3          3.202      0.202 
      346      2          2.01       0.01  
      347      3          3          0     
      348      4          4.05       0.05  
      349      4          4.01       0.01  
      350      3          3.03       0.03  
      351      4          3.97      -0.03  
      352      2          2.052      0.052 
      353      3.053      2.916     -0.137 
      354      2          2.04       0.04  
      355      3          2.9       -0.1   
      356      3          3.01       0.01  
      357      3          3.01       0.01  
      358      3          3.05       0.05  
      359      5          4.95      -0.05  
      360      2          2.031      0.031 
      361      5          4.89      -0.11  
      362      3          2.96      -0.04  
      363      2          2.271      0.271 
      364      3          3.01       0.01  
      365      2          2.092      0.092 
      366      2          2.06       0.06  
      367      5          4.87      -0.13  
      368      2          2.01       0.01  
      369      2          2          0     
      370      4          3.82      -0.18  
      371      3          2.99      -0.01  
      372      5          4.8       -0.2   
      373      4          3.71      -0.29  
      374      2          2.02       0.02  
      375      2          2          0     
      376      2          2          0     
      377      3          2.99      -0.01  
      378      5          4.73      -0.27  
      379      2          2.02       0.02  
      380      3          3          0     
      381      5          4.74      -0.26  
      382      4          4.14       0.14  
      383      5          4.86      -0.14  
      384      3          2.99      -0.01  
      385      3.053      3.006     -0.047 
      386      3          3.27       0.27  
      387      2          2.02       0.02  
      388      2          2.01       0.01  
      389      3          3.11       0.11  
      390      2          2.062      0.062 
      391      3          3.06       0.06  
      392      5          4.81      -0.19  
      393      3          3          0     
      394      2          2.04       0.04  
      395      4          3.91      -0.09  
      396      3          2.96      -0.04  
      397      2          2.01       0.01  
      398      3          3          0     
      399      3          2.98      -0.02  
      400      3          3.04       0.04  
      401      3          3          0     
      402      4          3.94      -0.06  
      403      3          3          0     
      404      5          4.77      -0.23  
      405      2          2          0     
      406      3          3.05       0.05  
      407      3          3.02       0.02  
      408      2          2.04       0.04  
      409      3          3.01       0.01  
      410      2          2.092      0.092 
      411      2          2.03       0.03  
      412      2          2.01       0.01  
      413      3          3.03       0.03  
      414      3.053      2.993     -0.06  
      415      5          4.82      -0.18  
      416      4          3.99      -0.01  
      417      3          3.101      0.101 
      418      2          2.04       0.04  
      419      2          2.06       0.06  
      420      3          3.12       0.12  
      421      4          3.73      -0.27  
      422      3          3.02       0.02  
      423      2          2          0     
      424      2          2.02       0.02  
      425      2          2.131      0.131 
      426      3          3.01       0.01  
      427      4          3.96      -0.04  
      428      3          2.96      -0.04  
      429      4          3.88      -0.12  
      430      2          2.122      0.122 
      431      4          3.92      -0.08  
      432      3          2.97      -0.03  
      433      3          3          0     
      434      3.053      2.946     -0.107 
      435      4          3.97      -0.03  
      436      4          4.11       0.11  
      437      4          4          0     
      438      2          2.011      0.011 
      439      2          2.01       0.01  
      440      3          2.99      -0.01  
      441      2          2.061      0.061 
      442      3          3.01       0.01  
      443      4          3.87      -0.13  
      444      3          3.05       0.05  
      445      3          3.03       0.03  
      446      2          2.092      0.092 
      447      3          2.96      -0.04  
      448      3          2.98      -0.02  
      449      3          3          0     
      450      3          3          0     
      451      2          2.03       0.03  
      452      3          3.021      0.021 
      453      4          3.94      -0.06  
      454      4          3.98      -0.02  
      455      5          4.86      -0.14  
      456      3          3          0     
      457      2          2.08       0.08  
      458      5          4.86      -0.14  
      459      3          2.99      -0.01  
      460      4          3.9       -0.1   
      461      3          3.04       0.04  
      462      2          2.03       0.03  
      463      3          2.97      -0.03  
      464      2          2.05       0.05  
      465      3          3.01       0.01  
      466      3          3          0     
      467      3          2.97      -0.03  
      468      3          3          0     
      469      2          2.021      0.021 
      470      3          3          0     
      471      4          3.97      -0.03  
      472      3          2.99      -0.01  
      473      4          4          0     
      474      5          4.68      -0.32  
      475      3          3.07       0.07  
      476      3          2.97      -0.03  
      477      2          2.02       0.02  
      478      3          3.05       0.05  
      479      4          4.04       0.04  
      480      5          4.84      -0.16  
      481      3.053      2.999     -0.054 
      482      5          4.83      -0.17  
      483      2          2.12       0.12  
      484      3          2.99      -0.01  
      485      3          3.011      0.011 
      486      2          2.04       0.04  
      487      2          2.061      0.061 
      488      5          4.72      -0.28  
      489      4          3.95      -0.05  
      490      2          2.071      0.071 
      491      4          3.9       -0.1   
      492      3          2.98      -0.02  
      493      3          3.181      0.181 
      494      2          2.05       0.05  
      495      2          2.051      0.051 
      496      2          2.01       0.01  
      497      3          2.93      -0.07  
      498      4          3.87      -0.13  
      499      5          4.81      -0.19  
      500      3          3          0     
      501      4          3.94      -0.06  
      502      2          2.01       0.01  
      503      3          2.99      -0.01  
      504      2          2          0     
      505      3          3.06       0.06  
      506      3          3.031      0.031 
      507      4          4.01       0.01  
      508      3          2.99      -0.01  
      509      3          3.08       0.08  
      510      3          3.01       0.01  
      511      3          3.01       0.01  
      512      2          2.03       0.03  
      513      4          3.97      -0.03  
      514      3          3.08       0.08  
      515      2          2.04       0.04  
      516      3          3.04       0.04  
      517      2          2          0     
      518      3          2.98      -0.02  
      519      4          3.83      -0.17  
      520      5          4.75      -0.25  
      521      5          4.82      -0.18  
      522      2          2.01       0.01  
      523      4          3.96      -0.04  
      524      2          2.051      0.051 
      525      3.053      2.916     -0.137 
      526      3          2.98      -0.02  
      527      2          2.02       0.02  
      528      3          3.311      0.311 
      529      3.053      3.009     -0.044 
      530      5          4.79      -0.21  
      531      2          2.09       0.09  
      532      3          3.36       0.36  
      533      3          2.98      -0.02  
      534      5          4.78      -0.22  
      535      3          3.04       0.04  
      536      3          3          0     
      537      2          2.02       0.02  
      538      3          3.02       0.02  
      539      3          2.98      -0.02  
      540      3.053      2.956     -0.097 
      541      3          2.99      -0.01  
      542      2          2.02       0.02  
      543      4          3.93      -0.07  
      544      5          4.89      -0.11  
      545      3.053      2.92      -0.133 
      546      2          2.05       0.05  
      547      3          3          0     
      548      4          3.98      -0.02  
      549      3          3.02       0.02  
      550      4          4.111      0.111 
      551      3          3          0     
      552      3          3.03       0.03  
      553      4          3.85      -0.15  
      554      3          2.99      -0.01  
      555      4          3.86      -0.14  
      556      2          2.06       0.06  
      557      4          3.93      -0.07  
      558      2          2.01       0.01  
      559      2          2.01       0.01  
      560      3          3.01       0.01  
      561      5          4.79      -0.21  
      562      3          3          0     
      563      3          3.021      0.021 
      564      4          3.84      -0.16  
      565      4          3.981     -0.019 
      566      3          2.99      -0.01  
      567      2          2.02       0.02  
      568      3          3          0     
      569      5          4.91      -0.09  
      570      3          2.99      -0.01  
      571      3          3.04       0.04  
      572      2          2.02       0.02  
      573      3          3          0     
      574      3          3.03       0.03  
      575      3.053      2.931     -0.121 
      576      3          3.03       0.03  
      577      4          3.78      -0.22  
      578      3          3          0     
      579      3          3          0     
      580      2          2.06       0.06  
      581      3          3.03       0.03  
      582      2          2.04       0.04  
      583      3          3.02       0.02  
      584      3          3          0     
      585      2          2.07       0.07  
      586      4          3.98      -0.02  
      587      4          4.03       0.03  
      588      2          2.072      0.072 
      589      4          3.81      -0.19  
      590      5          4.87      -0.13  
      591      4          3.91      -0.09  
      592      4          3.98      -0.02  
      593      3          3.03       0.03  
      594      2          2.04       0.04  
      595      3          2.93      -0.07  
      596      2          2.01       0.01  
      597      3          3.08       0.08  
      598      4          3.91      -0.09  
      599      3          3          0     
      600      2          2.06       0.06  
      601      5          4.68      -0.32  
      602      3          2.97      -0.03  
      603      2          2.01       0.01  
      604      3          3.03       0.03  
      605      3          3          0     
      606      3          3.05       0.05  
      607      4          3.96      -0.04  
      608      3          3.231      0.231 
      609      2          2.04       0.04  
      610      2          2.09       0.09  
      611      3          2.89      -0.11  
      612      4          3.94      -0.06  
      613      3          2.98      -0.02  
      614      3          3.01       0.01  
      615      4          3.83      -0.17  
      616      3          3          0     
      617      3          3.02       0.02  
      618      2          2.01       0.01  
      619      4          4.04       0.04  
      620      4          3.9       -0.1   
      621      4          3.94      -0.06  
      622      2          2.02       0.02  
      623      4          3.93      -0.07  
      624      2          2.07       0.07  
      625      3          2.99      -0.01  
      626      3          3.02       0.02  
      627      3          3.05       0.05  
      628      2          2.05       0.05  
      629      4          3.98      -0.02  
      630      3          2.931     -0.069 
      631      2          2.03       0.03  
      632      5          4.97      -0.03  
      633      2          2          0     
      634      2          2.09       0.09  
      635      3          2.99      -0.01  
      636      4          4.13       0.13  
      637      2          2.01       0.01  
      638      2          2.01       0.01  
      639      2          2.01       0.01  

=== Evaluation on test split ===

Time taken to test model on test split: 0.2 seconds

=== Summary ===

Correlation coefficient                  0.9917
Kendall's tau                            0.807 
Spearman's rho                           0.9269
Mean absolute error                      0.0654
Root mean squared error                  0.134 
Relative absolute error                  9.6207 %
Root relative squared error             14.6268 %
Total Number of Instances              639     

